,date,Fishtown,Southwest Center City,Point Breeze Credit Union,Chinatown,WPHL-TV,Passyunk Square,Spring Garden Road,Callow Hill,Hawthorne,American Pie,Manayunk,Society Hill,West Mount Airy,Pennsport,Washington Square Park,Queen Village,Fitler Square,Staten Island,Rittenhouse Square,Somerton,East Kensington,Jefferson Torresdale Hospital,Northern Liberties,Francisville,Bella Vista,Fairmount,Old City,Logan Square
141,2020-09-20,24,40,52,62,4,40,50,0,32,29,36,30,24,47,17,53,32,59,33,45,0,65,44,16,32,14,0,52
142,2020-09-27,28,41,59,52,6,19,10,83,0,27,38,38,25,55,19,30,34,59,37,36,58,47,46,0,47,12,28,43
143,2020-10-04,33,27,53,58,3,28,0,0,17,75,41,26,9,26,16,34,49,61,33,37,45,27,44,12,42,16,29,41
144,2020-10-11,25,35,56,61,5,30,35,0,19,78,37,29,19,41,14,34,38,60,56,53,32,62,46,25,68,16,0,40
145,2020-10-18,25,36,58,49,2,35,12,0,19,51,43,24,0,29,18,62,31,63,42,48,17,39,36,13,55,13,0,42
146,2020-10-25,31,43,65,53,5,34,0,94,20,39,34,40,19,0,16,34,30,60,32,67,0,34,33,45,45,13,0,43
147,2020-11-01,21,18,36,41,3,21,10,0,33,35,32,37,16,12,31,40,25,54,35,45,0,29,35,27,43,13,26,32
148,2020-11-08,21,40,55,51,5,28,22,0,0,37,36,21,9,20,20,42,21,62,27,38,15,51,44,42,28,11,0,34
149,2020-11-15,23,32,42,52,5,34,23,0,0,34,32,20,0,7,13,37,37,60,35,53,0,39,34,44,37,11,0,31
150,2020-11-22,14,22,31,58,8,30,0,0,0,40,27,34,0,14,17,29,59,61,22,40,16,20,44,19,37,10,0,30
151,2020-11-29,14,25,76,44,5,40,33,0,0,35,26,21,26,33,17,23,28,65,33,25,15,23,35,30,28,12,0,33
152,2020-12-06,20,31,55,62,6,28,0,0,0,28,23,23,9,7,15,25,28,62,32,64,16,37,32,18,56,22,0,35
153,2020-12-13,24,31,47,49,4,29,11,91,0,28,36,16,27,41,11,26,29,60,21,33,16,43,34,25,22,11,0,30
