RegionID,SizeRank,Neighborhood,RegionType,StateName,State,City,Metro,CountyName,Date,Prices,MeanPrices,Year,Month
32368,199,Lake Balboa,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1826.8054851401155,2028.5488216028125,2018,01
27987,195,Winnetka,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1293.4164862885216,1405.8691946058004,2018,01
268496,8,Southeast Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1682.2665097216914,1943.873067974937,2018,01
115609,181,Highland Park,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2992.786165986884,3318.0939929335036,2018,01
118208,4,South Los Angeles,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2005.910697618803,2285.6139869376307,2018,01
273197,165,Central City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1820.8054094918928,2138.9214964967123,2018,01
118920,160,Westwood,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3196.0528290167854,3398.320104818708,2018,01
403191,2819,Elysian Valley,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3335.1826046341707,3720.48329691693,2018,01
13017,136,North Hills,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,1371.3530105320892,1559.0930068642385,2018,01
7877,301,Westchester,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2213.4692679387044,2281.073374144993,2018,01
268118,312,Downtown,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3127.9302154350826,3320.36622783838,2018,01
268473,296,Silver Lake,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,3769.0734824185924,4054.709967352396,2018,01
47880,298,Studio City,Neighborhood,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,2018-01,2621.2165752845403,2753.312784340822,2018,01
270841,5608,DUMBO,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,5134.236423599348,5017.489038390151,2018,01
199001,17,Williamsburg,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,4164.257017863879,4145.857518345901,2018,01
270875,66,Lower East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,3488.082504184943,3378.2762352333625,2018,01
272902,16,Bedford Stuyvesant,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,3194.6373108742823,3262.938349459094,2018,01
18131,70,Flushing,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1830.3196773010163,1947.6723331118053,2018,01
270968,914,Windsor Terrace,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,2719.071222410394,2856.7053526684817,2018,01
270945,40,Sunset Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,2192.467331073284,2240.3575589383504,2018,01
272816,14,Astoria,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1940.9245779667046,2134.3530317554346,2018,01
195267,25,Harlem,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,2531.825851973506,2531.6636263879896,2018,01
194430,9,East New York,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,1708.7020821555393,1802.5539755046048,2018,01
272869,887,Battery Park,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,3984.3090973261264,3811.618163407794,2018,01
10957,38,Corona,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1486.748246432016,1585.6890714830813,2018,01
270885,828,Midtown,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,5303.26034249876,4967.243917909808,2018,01
194379,35,East Flatbush,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,1219.3491842265732,1366.1149224294106,2018,01
273903,819,Greenwood,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,3255.643203650239,2485.0547951977046,2018,01
270957,5,Upper East Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,3889.259935574394,3627.116534838361,2018,01
193587,34,Bushwick,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,2377.0371341264918,2405.166070524449,2018,01
198687,11,Washington Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,2307.2407952870262,2274.194832952323,2018,01
343219,1112,Riverdale,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,2018-01,1098.1109973472905,1152.6411509667719,2018,01
270811,1063,Carroll Gardens,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,3806.361693101033,3991.4218249564246,2018,01
403223,48,Elmhurst,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1533.2922786718739,1660.7911790532398,2018,01
403131,54,Sheepshead Bay,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,1259.6896449451544,1340.569378166898,2018,01
270928,1538,SoHo,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,6541.323716270854,6504.329397837376,2018,01
193285,45,Bensonhurst,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,1586.8233358657992,1674.3970150044759,2018,01
274627,1627,Murray Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,4165.05032605683,2653.1036114058766,2018,01
270825,1448,Downtown,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,3349.1993692375963,3320.36622783838,2018,01
193640,59,Canarsie,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,1799.3855851559995,1999.9574655243543,2018,01
25294,24,Jamaica,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1298.7736237432227,1486.5427548098075,2018,01
270817,41,Concourse,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,2018-01,1067.8076098525703,1231.336614942798,2018,01
5837,173,Maspeth,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,2436.9048021038657,2710.335683819153,2018,01
270800,1257,Bay Terrace,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1559.707963283125,1633.3900748934893,2018,01
343222,29,Williamsbridge,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Bronx County,2018-01,1269.2290527808907,1424.9375296478288,2018,01
403222,23,Crown Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,2609.85091554731,2671.8076088368457,2018,01
194737,20,Flatbush,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,1526.7142262644836,1619.2521595359153,2018,01
55801,1148,Glen Oaks,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1335.0243589950367,1376.7873152417662,2018,01
270828,30,East Harlem,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,2817.5399859379527,2740.2431700440757,2018,01
270816,2238,Cobble Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,3727.9030200801503,3710.5895098047145,2018,01
193189,174,Bay Ridge,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,1705.602760084941,1745.3301687950402,2018,01
272994,1273,Boerum Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,3510.7829442155407,3565.3530875727147,2018,01
270958,3,Upper West Side,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,4249.101575469015,4018.7845756170805,2018,01
270815,491,Clinton Hill,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Kings County,2018-01,3290.3910879775176,3352.9223324754967,2018,01
270850,189,Hamilton Heights,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,New York County,2018-01,2297.9034100345884,2246.6318235366944,2018,01
199091,188,Woodside,Neighborhood,NY,NY,New York,New York-Newark-Jersey City,Queens County,2018-01,1671.4067423266717,1774.1321530315258,2018,01
