City,date,housing_price,roomtype
Pittsburgh,2020-12,168490.0,1bed
Pittsburgh,2021-01,169117.0,1bed
Pittsburgh,2021-02,169291.66666666666,1bed
Pittsburgh,2021-03,169761.66666666666,1bed
Pittsburgh,2021-04,170280.0,1bed
Pittsburgh,2021-05,171796.66666666666,1bed
Pittsburgh,2021-06,173742.33333333334,1bed
Pittsburgh,2021-07,174414.66666666666,1bed
Pittsburgh,2021-08,175273.66666666666,1bed
Pittsburgh,2021-09,175615.33333333334,1bed
Pittsburgh,2021-10,176362.0,1bed
Pittsburgh,2021-11,176588.33333333334,1bed
Pittsburgh,2021-12,176914.33333333334,1bed
Pittsburgh,2022-01,177394.66666666666,1bed
Pittsburgh,2022-02,179520.33333333334,1bed
Pittsburgh,2022-03,180943.0,1bed
San Francisco,2018-01,924602.0714285715,1bed
San Francisco,2018-02,932423.0,1bed
San Francisco,2018-03,948287.4285714285,1bed
San Francisco,2018-04,963296.5714285715,1bed
San Francisco,2018-05,971373.6428571428,1bed
San Francisco,2018-06,979152.0,1bed
San Francisco,2018-07,979968.0,1bed
San Francisco,2018-08,983001.0,1bed
San Francisco,2018-09,980158.8571428572,1bed
San Francisco,2018-10,982585.0714285715,1bed
San Francisco,2018-11,979536.7142857143,1bed
San Francisco,2018-12,976227.3571428572,1bed
San Francisco,2019-01,978519.0,1bed
San Francisco,2019-02,982716.7857142857,1bed
San Francisco,2019-03,981185.6428571428,1bed
San Francisco,2019-04,978871.6428571428,1bed
San Francisco,2019-05,981506.2857142857,1bed
San Francisco,2019-06,985665.0,1bed
San Francisco,2019-07,984118.2142857143,1bed
San Francisco,2019-08,981949.7142857143,1bed
San Francisco,2019-09,981659.8571428572,1bed
San Francisco,2019-10,991198.0,1bed
San Francisco,2019-11,996926.0,1bed
San Francisco,2019-12,1009071.7142857143,1bed
San Francisco,2020-01,1013226.7142857143,1bed
San Francisco,2020-02,1022361.9285714285,1bed
San Francisco,2020-03,1024341.1428571428,1bed
San Francisco,2020-04,1030440.8571428572,1bed
San Francisco,2020-05,1022071.4285714285,1bed
San Francisco,2020-06,1011384.6428571428,1bed
San Francisco,2020-07,996608.2142857143,1bed
San Francisco,2020-08,993616.9285714285,1bed
San Francisco,2020-09,988623.8571428572,1bed
San Francisco,2020-10,978694.7142857143,1bed
San Francisco,2020-11,964539.5714285715,1bed
San Francisco,2020-12,953860.0,1bed
San Francisco,2021-01,950117.3571428572,1bed
San Francisco,2021-02,951164.9285714285,1bed
San Francisco,2021-03,958835.5,1bed
San Francisco,2021-04,963381.2857142857,1bed
San Francisco,2021-05,973876.8571428572,1bed
San Francisco,2021-06,983460.6428571428,1bed
San Francisco,2021-07,1000864.0,1bed
San Francisco,2021-08,1010841.3571428572,1bed
San Francisco,2021-09,1021448.4285714285,1bed
San Francisco,2021-10,1028038.5714285715,1bed
San Francisco,2021-11,1034429.6428571428,1bed
San Francisco,2021-12,1038195.7142857143,1bed
San Francisco,2022-01,1039869.1428571428,1bed
San Francisco,2022-02,1048987.4615384615,1bed
San Francisco,2022-03,1065796.7142857143,1bed
Seattle,2018-01,430826.29411764705,1bed
Seattle,2018-02,441495.1176470588,1bed
Seattle,2018-03,452621.4705882353,1bed
Seattle,2018-04,460348.17647058825,1bed
Seattle,2018-05,463652.5294117647,1bed
Seattle,2018-06,463774.5882352941,1bed
Seattle,2018-07,461568.64705882355,1bed
Seattle,2018-08,459893.29411764705,1bed
Seattle,2018-09,459247.0,1bed
Seattle,2018-10,459252.4375,1bed
Seattle,2018-11,456074.64705882355,1bed
Seattle,2018-12,453245.82352941175,1bed
Seattle,2019-01,451854.17647058825,1bed
Seattle,2019-02,449547.29411764705,1bed
Seattle,2019-03,447495.70588235295,1bed
Seattle,2019-04,443836.76470588235,1bed
Seattle,2019-05,439996.82352941175,1bed
Seattle,2019-06,434819.5294117647,1bed
Seattle,2019-07,431948.8823529412,1bed
Seattle,2019-08,430488.5882352941,1bed
Seattle,2019-09,429796.9411764706,1bed
Seattle,2019-10,428171.29411764705,1bed
Seattle,2019-11,429233.29411764705,1bed
Seattle,2019-12,429516.0588235294,1bed
Seattle,2020-01,433687.5882352941,1bed
Seattle,2020-02,437087.23529411765,1bed
Seattle,2020-03,443375.82352941175,1bed
Seattle,2020-04,445285.0588235294,1bed
Seattle,2020-05,443102.76470588235,1bed
Seattle,2020-06,440921.35294117645,1bed
Seattle,2020-07,440670.9411764706,1bed
Seattle,2020-08,444844.8823529412,1bed
Seattle,2020-09,449218.70588235295,1bed
Seattle,2020-10,453573.4117647059,1bed
Seattle,2020-11,455705.1176470588,1bed
Seattle,2020-12,454522.4117647059,1bed
Seattle,2021-01,454364.29411764705,1bed
Seattle,2021-02,454275.23529411765,1bed
Seattle,2021-03,452126.625,1bed
Seattle,2021-04,456035.4117647059,1bed
Seattle,2021-05,457944.4117647059,1bed
Seattle,2021-06,464801.0,1bed
Seattle,2021-07,467763.23529411765,1bed
Seattle,2021-08,470142.82352941175,1bed
Seattle,2021-09,470307.8823529412,1bed
Seattle,2021-10,470651.5882352941,1bed
Seattle,2021-11,475006.8823529412,1bed
Seattle,2021-12,479812.82352941175,1bed
Seattle,2022-01,485967.29411764705,1bed
Seattle,2022-02,492095.23529411765,1bed
Seattle,2022-03,501413.0588235294,1bed
Washington,2018-01,345887.8,1bed
Washington,2018-02,347457.73333333334,1bed
Washington,2018-03,346800.06666666665,1bed
Washington,2018-04,347160.6666666667,1bed
Washington,2018-05,346627.13333333336,1bed
Washington,2018-06,347553.0,1bed
Washington,2018-07,348423.8,1bed
Washington,2018-08,348900.2,1bed
Washington,2018-09,350080.0,1bed
Washington,2018-10,350953.13333333336,1bed
Washington,2018-11,352150.73333333334,1bed
Washington,2018-12,352372.6,1bed
